Breed,FCINumber,Section,Subsection,Country,Status,DateAcceptance,DateStandard,Language,WorkingTrial,URL
AFFENPINSCHER,186,Pinscher and Schnauzer type,Pinscher,"GERMANY",Recognized on a definitive basis,7/15/1955,3/26/2009,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AFFENPINSCHER-186.html
AFGHAN HOUND,228,Long-haired or fringed Sighthounds,,"AFGHANISTAN",Recognized on a definitive basis,12/12/1961,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AFGHAN-HOUND-228.html
AIREDALE TERRIER,7,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,5/28/1963,7/27/2021,English,"Subject to a working trial only for the countries having applied for it",https://fci.be/en/nomenclature/AIREDALE-TERRIER-7.html
AKITA,255,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,3/13/1964,3/13/2001,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AKITA-255.html
ALASKAN MALAMUTE,243,Nordic Sledge Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,5/13/1963,3/9/2023,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ALASKAN-MALAMUTE-243.html
ALPENLÄNDISCHE DACHSBRACKE,254,Leash (scent) Hounds,,"AUSTRIA",Recognized on a definitive basis,6/1/1975,10/10/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ALPINE-DACHSBRACKE-254.html
AMERICAN AKITA,344,Asian Spitz and related breeds,,"JAPAN",Recognized on a definitive basis,5/30/1999,1/6/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-AKITA-344.html
AMERICAN COCKER SPANIEL,167,Flushing Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,1/1/1965,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-COCKER-SPANIEL-167.html
AMERICAN FOXHOUND,303,Scent hounds,Large-sized Hounds,"UNITED STATES OF AMERICA",Recognized on a definitive basis,11/2/1979,11/2/1979,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AMERICAN-FOXHOUND-303.html
AMERICAN STAFFORDSHIRE TERRIER,286,Bull type Terriers,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,6/10/1936,9/3/1996,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AMERICAN-STAFFORDSHIRE-TERRIER-286.html
AMERICAN WATER SPANIEL,301,Water Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,11/2/1979,2/14/1995,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AMERICAN-WATER-SPANIEL-301.html
ANGLO-FRANÇAIS DE PETITE VENERIE,325,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,1/26/1983,1/26/1983,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/MEDIUM-SIZED-ANGLO-FRENCH-HOUND-325.html
ANJING KINTAMANI-BALI,362,Asian Spitz and related breeds,,"INDONESIA",Recognized on a provisional basis,,6/13/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/KINTAMANI-BALI-DOG-362.html
APPENZELLER SENNENHUND,46,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,7/27/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/APPENZELL-CATTLE-DOG-46.html
ARIEGEOIS,20,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/1/1954,1/24/1996,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ARIEGEOIS-20.html
AUSTRALIAN CATTLE DOG,287,Cattledogs (except Swiss Cattledogs),,"AUSTRALIA",Recognized on a definitive basis,3/20/1972,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-CATTLE-DOG-287.html
AUSTRALIAN KELPIE,293,Sheepdogs,,"AUSTRALIA",Recognized on a definitive basis,9/3/1973,10/8/2012,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-KELPIE-293.html
AUSTRALIAN SHEPHERD,342,Sheepdogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,5/21/2007,3/26/2009,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-SHEPHERD-342.html
AUSTRALIAN SILKY TERRIER,236,Toy Terriers,,"AUSTRALIA",Recognized on a definitive basis,10/3/1962,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-SILKY-TERRIER-236.html
AUSTRALIAN STUMPY TAIL CATTLE DOG,351,Cattledogs (except Swiss Cattledogs),,"AUSTRALIA",Recognized on a provisional basis,,7/6/2005,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-STUMPY-TAIL-CATTLE-DOG-351.html
AUSTRALIAN TERRIER,8,Small sized Terriers,,"AUSTRALIA",Recognized on a definitive basis,6/20/1963,10/8/2012,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AUSTRALIAN-TERRIER-8.html
AZAWAKH,307,Short-haired Sighthounds,,"MALI",Recognized on a definitive basis,6/3/1980,9/4/2019,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/AZAWAKH-307.html
AÏDI (CHIEN DE MONTAGNE DE L'ATLAS),247,Molossian type,Mountain type,"MOROCCO",Recognized on a definitive basis,6/13/1963,3/25/2003,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ATLAS-MOUNTAIN-DOG-AIDI-247.html
BARBET,105,Water Dogs,,"FRANCE",Recognized on a definitive basis,12/4/1954,2/21/2006,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-WATER-DOG-105.html
BASENJI,43,Primitive type,,"CENTRAL AFRICA",Recognized on a definitive basis,3/26/1964,11/25/1999,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BASENJI-43.html
BASSET ARTESIEN NORMAND,34,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/29/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/NORMAN-ARTESIEN-BASSET-34.html
BASSET BLEU DE GASCOGNE,35,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/30/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BLUE-GASCONY-BASSET-35.html
BASSET FAUVE DE BRETAGNE,36,Scent hounds,Small-sized Hounds,"FRANCE",Recognized on a definitive basis,10/30/1963,3/25/2003,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BASSET-FAUVE-DE-BRETAGNE-36.html
BASSET HOUND,163,Scent hounds,Small-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,4/28/1955,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BASSET-HOUND-163.html
BAYERISCHER GEBIRGSSCHWEISSHUND,217,Leash (scent) Hounds,,"GERMANY",Recognized on a definitive basis,11/14/1959,8/22/2017,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BAVARIAN-MOUNTAIN-SCENT-HOUND-217.html
BEAGLE,161,Scent hounds,Small-sized Hounds,"GREAT BRITAIN",Recognized on a definitive basis,4/26/1955,10/13/2010,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAGLE-161.html
BEAGLE-HARRIER,290,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,9/2/1972,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAGLE-HARRIER-290.html
BEARDED COLLIE,271,Sheepdogs,,"GREAT BRITAIN",Recognized on a definitive basis,8/30/1967,11/3/2014,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BEARDED-COLLIE-271.html
BEDLINGTON TERRIER,9,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,6/20/1963,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BEDLINGTON-TERRIER-9.html
BERGER BLANC SUISSE,347,Sheepdogs,,"SWITZERLAND",Recognized on a definitive basis,7/4/2011,7/4/2011,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/WHITE-SWISS-SHEPHERD-DOG-347.html
BERGER DE BEAUCE,44,Sheepdogs,,"FRANCE",Recognized on a definitive basis,11/25/1963,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BEAUCE-SHEEPDOG-44.html
BERGER DE BRIE,113,Sheepdogs,,"FRANCE",Recognized on a definitive basis,12/14/1954,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BRIARD-113.html
BERGER DE PICARDIE,176,Sheepdogs,,"FRANCE",Recognized on a definitive basis,6/27/1955,11/4/2008,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PICARDY-SHEEPDOG-176.html
BERNER SENNENHUND,45,Swiss Mountain- and Cattledogs,,"SWITZERLAND",Recognized on a definitive basis,7/26/1954,3/25/2003,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BERNESE-MOUNTAIN-DOG-45.html
BICHON A POIL FRISE,215,Bichons and related breeds,Bichons,"BELGIUM, FRANCE",Recognized on a definitive basis,10/28/1959,4/4/2016,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BICHON-FRISE-215.html
BICHON HAVANAIS,250,Bichons and related breeds,Bichons,"CUBA",Recognized on a definitive basis,9/24/1963,10/31/2016,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/HAVANESE-250.html
BILLY,25,Scent hounds,Large-sized Hounds,"FRANCE",Recognized on a definitive basis,10/14/1963,12/28/1973,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BILLY-25.html
BLACK AND TAN COONHOUND,300,Scent hounds,Large-sized Hounds,"UNITED STATES OF AMERICA",Recognized on a definitive basis,7/10/1945,1/30/1991,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BLACK-AND-TAN-COONHOUND-300.html
BOLOGNESE,196,Bichons and related breeds,Bichons,"ITALY",Recognized on a definitive basis,3/5/1956,11/13/2015,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BOLOGNESE-196.html
BORDER COLLIE,297,Sheepdogs,,"GREAT BRITAIN",Recognized on a definitive basis,9/27/1977,6/24/1987,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BORDER-COLLIE-297.html
BORDER TERRIER,10,Large and medium sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,6/26/1963,6/24/1987,English,"Subject to a working trial for some countries",https://fci.be/en/nomenclature/BORDER-TERRIER-10.html
BOSANSKI OSTRODLAKI GONIC-BARAK,155,Scent hounds,Medium-sized Hounds,"BOSNIA AND HERZEGOVINA",Recognized on a definitive basis,4/9/1955,1/15/1973,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOSNIAN-BROKEN-HAIRED-HOUND-CALLED-BARAK-155.html
BOSTON TERRIER,140,Small Molossian type Dogs,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,1/29/1955,1/28/2013,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BOSTON-TERRIER-140.html
BOULEDOGUE FRANÇAIS,101,Small Molossian type Dogs,,"FRANCE",Recognized on a definitive basis,11/30/1954,8/10/2023,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/FRENCH-BULLDOG-101.html
BOUVIER DES ARDENNES,171,Cattledogs (except Swiss Cattledogs),,"BELGIUM",Recognized on a definitive basis,6/13/1955,10/25/2000,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOUVIER-DES-ARDENNES-171.html
BOUVIER DES FLANDRES-VLAAMSE KOEHOND,191,Cattledogs (except Swiss Cattledogs),,"BELGIUM, FRANCE",Recognized on a definitive basis,11/1/1955,10/25/2000,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOUVIER-DES-FLANDRES-191.html
BRACCO ITALIANO,202,Continental Pointing Dogs,«Braque»Type,"ITALY",Recognized on a definitive basis,6/7/1956,11/13/2015,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ITALIAN-POINTING-DOG-202.html
BRANDLBRACKE - (VIERÄUGL),63,Scent hounds,Medium-sized Hounds,"AUSTRIA",Recognized on a definitive basis,9/3/1954,10/10/1995,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AUSTRIAN-BLACK-AND-TAN-HOUND-63.html
BRAQUE D'AUVERGNE,180,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,6/30/1955,3/24/2004,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/AUVERGNE-POINTER-180.html
BRAQUE DE L'ARIÈGE,177,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,6/28/1955,8/10/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ARIEGE-POINTING-DOG-177.html
BRAQUE DU BOURBONNAIS,179,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,6/29/1955,2/21/2006,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOURBONNAIS-POINTING-DOG-179.html
BRAQUE FRANÇAIS - TYPE GASCOGNE,133,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,1/17/1955,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-POINTING-DOG-GASCOGNE-TYPE-133.html
BRAQUE FRANÇAIS - TYPE PYRENEES,134,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,1/18/1955,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/FRENCH-POINTING-DOG-PYRENEAN-TYPE-134.html
BRAQUE SAINT-GERMAIN,115,Continental Pointing Dogs,«Braque»Type,"FRANCE",Recognized on a definitive basis,12/16/1954,8/1/2023,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/SAINT-GERMAIN-POINTER-115.html
BRIQUET GRIFFON VENDEEN,19,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/2/1954,1/9/1999,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BRIQUET-GRIFFON-VENDEEN-19.html
BROHOLMER,315,Molossian type,Mastiff type,"DENMARK",Recognized on a definitive basis,5/26/1982,5/3/2025,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BROHOLMER-315.html
BULDOGUE CAMPEIRO,374,Molossian type,Mastiff type,"BRAZIL",Recognized on a provisional basis,,8/6/2025,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BRAZILIAN-CAMPEIRO-BULLDOG-374.html
BULL TERRIER,11,Bull type Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,6/26/1993,7/5/2011,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BULL-TERRIER-11.html
BULLDOG,149,Molossian type,Mastiff type,"GREAT BRITAIN",Recognized on a definitive basis,3/14/1955,10/13/2010,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BULLDOG-149.html
BULLMASTIFF,157,Molossian type,Mastiff type,"GREAT BRITAIN",Recognized on a definitive basis,4/23/1955,8/10/2023,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/BULLMASTIFF-157.html
CA DE BESTIAR,321,Sheepdogs,,"SPAIN",Recognized on a definitive basis,5/26/1982,5/26/1982,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/MAJORCA-SHEPHERD-DOG-321.html
CAIRN TERRIER,4,Small sized Terriers,,"GREAT BRITAIN",Recognized on a definitive basis,4/6/1963,6/24/1987,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CAIRN-TERRIER-4.html
CANAAN DOG,273,Primitive type,,"ISRAEL",Recognized on a definitive basis,11/23/1966,11/28/1985,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CANAAN-DOG-273.html
CANADIAN ESKIMO DOG,211,Nordic Sledge Dogs,,"CANADA",Recognized on a definitive basis,6/25/1959,2/28/2018,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CANADIAN-ESKIMO-DOG-211.html
CANE CORSO ITALIANO,343,Molossian type,Mastiff type,"ITALY",Recognized on a definitive basis,5/21/2007,9/25/2023,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ITALIAN-CANE-CORSO-343.html
CANE DA PASTORE ABRUZZESE MAREMMANO,201,Sheepdogs,,"ITALY",Recognized on a definitive basis,3/13/1956,12/3/2025,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/ABRUZZES-AND-MAREMMA-SHEPHERD-DOG-201.html
CANE DA PASTORE BERGAMASCO,194,Sheepdogs,,"ITALY",Recognized on a definitive basis,2/23/1956,9/4/2020,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BERGAMASCO-SHEPHERD-DOG-194.html
CANICHE,172,Poodle,,"FRANCE",Recognized on a definitive basis,1/1/1955,3/20/2024,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/POODLE-172.html
CAVALIER KING CHARLES SPANIEL,136,English Toy Spaniels,,"GREAT BRITAIN",Recognized on a definitive basis,1/20/1955,11/4/2008,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CAVALIER-KING-CHARLES-SPANIEL-136.html
CESKOSLOVENSKÝ VLCIAK,332,Sheepdogs,,"CZECHOSLOVAKIA",Recognized on a definitive basis,5/30/1999,9/3/1999,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/CZECHOSLOVAKIAN-WOLFDOG-332.html
CESKÝ FOUSEK,245,Continental Pointing Dogs,«Griffon» type,"CZECH REPUBLIC",Recognized on a definitive basis,5/21/1963,5/21/1963,German,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOHEMIAN-WIRE-HAIRED-POINTING-GRIFFON-245.html
CESKÝ TERIER,246,Small sized Terriers,,"CZECH REPUBLIC",Recognized on a definitive basis,5/24/1963,3/11/1997,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CZECH-TERRIER-246.html
CHART POLSKI,333,Short-haired Sighthounds,,"POLAND",Recognized on a definitive basis,3/1/2001,10/1/1999,German,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/POLISH-GREYHOUND-333.html
CHESAPEAKE BAY RETRIEVER,263,Retrievers,,"UNITED STATES OF AMERICA",Recognized on a definitive basis,9/15/1964,2/14/1995,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/CHESAPEAKE-BAY-RETRIEVER-263.html
CHIEN D'ARTOIS,28,Scent hounds,Medium-sized Hounds,"FRANCE",Recognized on a definitive basis,10/18/1963,7/24/1996,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/ARTOIS-HOUND-28.html
CHIEN DE BERGER BELGE,15,Sheepdogs,,"BELGIUM",Recognized on a definitive basis,1/1/1956,3/13/2001,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BELGIAN-SHEPHERD-DOG-15.html
CHIEN DE BERGER DES PYRENEES A FACE RASE,138,Sheepdogs,,"FRANCE",Recognized on a definitive basis,1/26/1955,3/13/2001,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/PYRENEAN-SHEEPDOG-SMOOTH-FACED-138.html
CHIEN DE BERGER DES PYRENEES A POIL LONG,141,Sheepdogs,,"FRANCE",Recognized on a definitive basis,1/28/1955,3/26/2009,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/LONG-HAIRED-PYRENEAN-SHEEPDOG-141.html
CHIEN DE MONTAGNE DES PYRENEES,137,Molossian type,Mountain type,"FRANCE",Recognized on a definitive basis,1/25/1955,3/13/2001,French,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/PYRENEAN-MOUNTAIN-DOG-137.html
CHIEN DE SAINT HUBERT,84,Scent hounds,Large-sized Hounds,"BELGIUM",Recognized on a definitive basis,8/12/1960,3/13/2001,French,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BLOODHOUND-84.html
CHIHUAHUEÑO,218,Chihuahueno,,"MEXICO",Recognized on a definitive basis,12/4/1959,9/4/2019,Spanish,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CHIHUAHUA-218.html
CHIN,206,Japan Chin and Pekingese,,"JAPAN",Recognized on a definitive basis,12/2/1957,4/4/2016,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/JAPANESE-CHIN-206.html
CHINESE CRESTED DOG,288,Hairless Dogs,,"CHINA",Recognized on a definitive basis,7/17/1972,7/27/2021,English,"Not subject to a working trial according to the FCI breeds nomenclature",https://fci.be/en/nomenclature/CHINESE-CRESTED-DOG-288.html
CHODSKY PES,364,Sheepdogs,,"CZECH REPUBLIC",Recognized on a provisional basis,,2/20/2019,English,"Subject to a working trial according to the FCI Breeds Nomenclature",https://fci.be/en/nomenclature/BOHEMIAN-SHEPHERD-DOG-364.html
